,scalerank,featurecla,type,sov_a3,note,edited,name,namealt,namealtt,routeraw,question,length_km,toll,ne_part,label,label2,local,localtype,localalt,labelrank,ignore,add,rwdb_rd_id,orig_fid,prefix,uident,continent,expressway,level,min_zoom,min_label,geometry
91,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",95,,,,0,123,0,ne_1d4_original,,,,,,0,0,0,0,0,,119805,North America,1,Interstate,3.0,6.0,"LINESTRING (-77.170808293835 38.79252284467735, -77.19859380568359 38.735215226489636, -77.22464272304164 38.71263949811266, -77.24895504590916 38.67790760830192, -77.28542353021042 38.65185869094387, -77.30278947511579 38.62928296256689, -77.34273114839814 38.552872804983274, -77.406985144548 38.47819924189019, -77.42956087292498 38.420891623702474, -77.5111808139802 38.32016914325134, -77.5198637864329 38.29238363140275, -77.50076124703699 38.22291985178128, -77.51639059745182 38.1343535327639, -77.51639059745182 38.104831426424774, -77.50249784152753 38.02842126884116, -77.46429276273571 37.898176682050895, -77.46081957375463 37.856498414278015, -77.46602935722625 37.79745420159976, -77.44692681783035 37.70541469360131, -77.45040000681142 37.632477724998765, -77.45734638477357 37.61337518560286, -77.47123914069786 37.590799457225884)"
94,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",91,,,,0,55,0,ne_1d4_original,,,,,,0,0,0,0,0,,53105,North America,1,Interstate,3.0,6.0,"LINESTRING (-72.69039450825004 41.62490845874288, -72.7459655319472 41.54849830115926, -72.77027785481472 41.5311323562539, -72.81890250054975 41.50855662787692, -72.83626844545512 41.48945408848101, -72.85710757934156 41.444302631727055, -72.90573222507659 41.402624363954175, -72.9387275203968 41.36789247414344, -72.9578300597927 41.352263123728605, -72.99429854409398 41.34010696229485, -73.01687427247096 41.32621420637055, -73.05507935126276 41.26196021022069, -73.07418189065866 41.24285767082478)"
95,4,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",95,,,,0,81,0,ne_1d4_original,,,,,,0,0,0,0,0,,53005,North America,1,Interstate,4.0,7.0,"LINESTRING (-72.34481220463321 41.34010696229485, -72.37433431097233 41.3331605843327, -72.39864663383985 41.31405804493679, -72.42122236221682 41.30537507248411, -72.46116403549918 41.29669210003143, -72.7928535831917 41.3001652890125, -72.86752714628479 41.291482316559815, -72.88315649669961 41.29495550554089, -72.90573222507659 41.30884826146519, -72.9196249810009 41.310584855955724, -72.9578300597927 41.29321891105035, -72.99429854409398 41.2671699936923, -73.05160616228169 41.24285767082478)"
96,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",81,,,,0,53,0,ne_1d4_original,,,,,,0,0,0,0,0,,51705,North America,1,Interstate,3.0,6.0,"LINESTRING (-75.90309431574312 42.13546723896071, -75.9013577212526 42.191038262657884, -75.9065675047242 42.21882377450647, -75.9204602606485 42.243136097373984, -75.9204602606485 42.25702885329828, -75.92914323310117 42.272658203713114, -75.92740663861063 42.29002414861848, -75.96387512291192 42.31780966046707, -75.9777678788362 42.335175605372434, -76.01944614660908 42.40463938499391, -76.03681209151446 42.46368359767216, -76.06459760336305 42.49320570401129, -76.08196354826842 42.54530353872739, -76.12885159951291 42.59219158997188, -76.1618468948331 42.60608434589618, -76.16795746093248 42.612958732757974)"
97,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",88,,,,0,224,0,ne_1d4_original,,,,,,0,0,0,0,0,,0,North America,1,Interstate,5.0,8.0,"LINESTRING (-75.9013577212526 42.15283318386607, -75.86315264246078 42.161516156318754, -75.77979610691501 42.16325275080929, -75.67733703197334 42.19624804612949, -75.60613665786133 42.18409188469573, -75.5714047680506 42.19451145163896, -75.5106239608818 42.20319442409164, -75.49325801597644 42.22750674695916, -75.46894569310892 42.2483458808456, -75.46373590963731 42.291760743109016, -75.3873257520537 42.29870712107117, -75.32307175590383 42.31607306597653, -75.2692373266972 42.33691219986297, -75.25187138179182 42.354278144768344, -75.19456376360411 42.364697711711564, -75.14941230685015 42.39074662906962, -75.13551955092586 42.4185321409182, -75.09210468866243 42.44979084174787, -75.00701155862613 42.45847381420055, -74.9722796688154 42.48278613706807, -74.91844523960876 42.496678892992364, -74.90976226715607 42.508835054426115, -74.90628907817499 42.53314737729363, -74.89934270021286 42.54009375525578, -74.83856189304406 42.54009375525578, -74.812512975686 42.547040133217926, -74.76215173546045 42.580035428538125, -74.67358541644306 42.6165039128394, -74.63885352663233 42.64602601917853, -74.59891185334999 42.6494992081596, -74.56417996353925 42.63560645223531, -74.5242382902569 42.64602601917853, -74.46866726655972 42.670338342046044, -74.39746689244771 42.67728472000819, -74.29153462852497 42.71028001532839, -74.18733895909276 42.7345923381959, -74.14913388030095 42.751958283101274, -74.07793350618894 42.76585103902556, -74.01951392028506 42.79334260886269)"
98,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",81,,,,0,73,0,ne_1d4_original,,,,,,0,0,0,0,0,,62105,North America,1,Interstate,3.0,6.0,"LINESTRING (-75.82321096917843 42.118101294055336, -75.77632291793394 42.02432519156635, -75.74506421710427 41.98959330175561, -75.72769827219891 41.87845125436126, -75.6947029768787 41.86976828190857, -75.68254681544495 41.852402337003205, -75.67907362646388 41.82635341964515, -75.68428340993549 41.770782395947975, -75.66865405952066 41.72389434470348, -75.68428340993549 41.678742887949525, -75.66344427604905 41.65443056508201, -75.65997108706797 41.64227440364825, -75.64434173665315 41.61969867527127, -75.66170768155851 41.5311323562539, -75.67907362646388 41.49292727746209, -75.67907362646388 41.47729792704725, -75.66344427604905 41.46687836010403, -75.65997108706797 41.45819538765135, -75.63565876420046 41.44603922621759, -75.62176600827617 41.42867328131222, -75.6096098468424 41.42520009233115)"
99,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",99,,,,0,43,0,ne_1d4_original,,,,,,0,0,0,0,0,,79605,North America,1,Interstate,5.0,8.0,"LINESTRING (-77.73172831427839 40.93895363498085, -77.7421478812216 40.879909422302596, -77.8029286883904 40.84344093800132, -77.86370949555918 40.819128615133806, -77.8880218184267 40.81391883166219, -77.91580733027529 40.819128615133806, -77.95748559804817 40.841704343510784, -77.99395408234945 40.83649456003917, -78.02868597216018 40.819128615133806, -78.06077973943194 40.797262531937655)"
100,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",93,,,,0,75,0,ne_1d4_original,,,,,,0,0,0,0,0,,30105,North America,1,Interstate,5.0,8.0,"LINESTRING (-71.59113019574023 43.425756945429555, -71.56681787287272 43.45527905176868, -71.57202765634433 43.47611818565512, -71.61023273513614 43.50043050852263, -71.61196932962667 43.507376886484785, -71.60675954615506 43.53516239833337, -71.61544251860775 43.57510407161572, -71.61370592411721 43.590733422030546, -71.63280846351311 43.60636277244538, -71.64322803045634 43.63414828429397, -71.65017440841848 43.70708525289651, -71.68490629822922 43.776549032517984, -71.68664289271976 43.80259794987604, -71.65364759739956 43.846012812139456, -71.65538419189009 43.85295919010161, -71.67622332577653 43.865115351535366, -71.70053564864405 43.91026680828932, -71.69879905415351 43.936315725647376, -71.68316970373868 43.96236464300542, -71.67795992026707 43.98667696587294, -71.67795992026707 44.04572117855119, -71.67101354230493 44.12734111960642, -71.67795992026707 44.16901938737931, -71.69706245966297 44.193331710246824)"
102,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",89,,,,0,137,0,ne_1d4_original,,,,,,0,0,0,0,0,,26705,North America,1,Interstate,3.0,6.0,"LINESTRING (-72.38996366138717 43.64456785123719, -72.405593011802 43.701875469424905, -72.45074446855595 43.753973304141006, -72.45595425202757 43.79044178844228, -72.49763251980045 43.79044178844228, -72.53062781512065 43.81996389478141, -72.54973035451656 43.81128092232872, -72.5618865159503 43.81301751681926, -72.56883289391246 43.81822730029087, -72.56709629942192 43.825173678253016, -72.59140862228944 43.83906643417731, -72.61572094515695 43.88074470195019, -72.61398435066641 43.92068637523254, -72.62440391760964 43.96062804851489, -72.62440391760964 44.007516099759385, -72.61919413413803 44.030091828136364, -72.60530137821372 44.05440415100388, -72.60182818923265 44.13776068654964, -72.57925246085567 44.1829121433036, -72.58619883881782 44.24716613945346, -72.69386769723111 44.31315673009386, -72.72512639806077 44.32183970254655, -72.75812169338097 44.34962521439513, -72.77548763828634 44.358308186847815, -72.806746339116 44.365254564809966, -72.8258488785119 44.36004478133835, -72.90225903609553 44.386093698696406, -72.96130324877377 44.39477667114909, -72.98735216613183 44.40345964360177, -72.99950832756558 44.42082558850714, -73.03424021737632 44.43124515545036, -73.14885545375175 44.439928127903045, -73.18706053254355 44.45382088382734)"
105,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",86,,,,0,31,0,ne_1d4_original,,,,,,0,0,0,0,0,,53805,North America,1,Interstate,5.0,8.0,"LINESTRING (-77.36704347126566 42.383800251107466, -77.3548873098319 42.375117278654784, -77.3409945539076 42.34038538884405, -77.32883839247384 42.32822922741029, -77.30626266409686 42.31780966046707, -77.25242823489022 42.30739009352385, -77.22637931753218 42.293497337599554, -77.21943293957003 42.28481436514687, -77.21074996711734 42.253555664317204, -77.19685721119305 42.23618971941184, -77.16559851036338 42.210140802053786, -77.14128618749587 42.19798464062003)"
